n,caso,k,p,disponibilidade_analitica,disponibilidade_experimental,erro_absoluto
2,k = 1,1,0.8,0.9600000000000001,0.95976,0.000240000000000129
2,k = 1,1,0.8500000000000001,0.9775,0.97734,0.000160000000000049
2,k = 1,1,0.9,0.99,0.99009,9.00000000000345e-05
2,k = 1,1,0.9500000000000001,0.9974999999999999,0.99737,0.00012999999999996348
2,k = 1,1,1.0,1.0,1.0,0.0
2,k = n/2,1,0.0,0.0,0.0,0.0
2,k = n/2,1,0.05,0.0975,0.09685,0.0006499999999999978
2,k = n/2,1,0.1,0.19000000000000003,0.18902,0.0009800000000000364
2,k = n/2,1,0.15000000000000002,0.2775,0.27724,0.000260000000000038
2,k = n/2,1,0.2,0.3600000000000001,0.35802,0.001980000000000093
2,k = n/2,1,0.25,0.4375,0.43957,0.0020700000000000163
2,k = n/2,1,0.30000000000000004,0.51,0.50686,0.0031400000000000317
2,k = n/2,1,0.35000000000000003,0.5775,0.57921,0.0017099999999999893
2,k = n/2,1,0.4,0.64,0.6392,0.0008000000000000229
2,k = n/2,1,0.45,0.6975,0.6947,0.0028000000000000247
2,k = n/2,1,0.5,0.75,0.74934,0.0006599999999999939
2,k = n/2,1,0.55,0.7975000000000001,0.79858,0.0010799999999998589
2,k = n/2,1,0.6000000000000001,0.8400000000000001,0.83963,0.0003700000000000925
2,k = n/2,1,0.65,0.8775,0.87679,0.0007099999999999884
2,k = n/2,1,0.7000000000000001,0.91,0.90917,0.0008299999999999974
2,k = n/2,1,0.75,0.9375,0.93771,0.00021000000000004349
2,k = n/2,1,0.8,0.9600000000000001,0.95975,0.0002500000000000835
2,k = n/2,1,0.8500000000000001,0.9775,0.97666,0.0008400000000000629
2,k = n/2,1,0.9,0.99,0.99016,0.000160000000000049
2,k = n/2,1,0.9500000000000001,0.9974999999999999,0.99769,0.00019000000000002348
2,k = n/2,1,1.0,1.0,1.0,0.0
2,k = n,2,0.0,0.0,0.0,0.0
2,k = n,2,0.05,0.0025000000000000005,0.00246,4.000000000000054e-05
2,k = n,2,0.1,0.010000000000000002,0.01029,0.0002899999999999986
2,k = n,2,0.15000000000000002,0.022500000000000006,0.02193,0.0005700000000000045
2,k = n,2,0.2,0.04000000000000001,0.03959,0.0004100000000000076
2,k = n,2,0.25,0.0625,0.06201,0.0004899999999999974
2,k = n,2,0.30000000000000004,0.09000000000000002,0.08952,0.0004800000000000221
2,k = n,2,0.35000000000000003,0.12250000000000003,0.12265,0.0001499999999999696
2,k = n,2,0.4,0.16000000000000003,0.16026,0.00025999999999998247
2,k = n,2,0.45,0.2025,0.20165,0.0008500000000000174
2,k = n,2,0.5,0.25,0.24852,0.001480000000000009
2,k = n,2,0.55,0.30250000000000005,0.30219,0.00031000000000003247
2,k = n,2,0.6000000000000001,0.3600000000000001,0.35996,4.0000000000095515e-05
2,k = n,2,0.65,0.42250000000000004,0.42165,0.0008500000000000174
2,k = n,2,0.7000000000000001,0.4900000000000001,0.49197,0.0019699999999999163
2,k = n,2,0.75,0.5625,0.56405,0.0015500000000000513
2,k = n,2,0.8,0.6400000000000001,0.63821,0.0017900000000000693
2,k = n,2,0.8500000000000001,0.7225000000000001,0.72274,0.00023999999999990695
2,k = n,2,0.9,0.81,0.81062,0.0006199999999999539
2,k = n,2,0.9500000000000001,0.9025000000000001,0.90274,0.00023999999999990695
2,k = n,2,1.0,1.0,1.0,0.0
4,k = 1,1,0.0,0.0,0.0,0.0
4,k = 1,1,0.05,0.18549375,0.18325,0.0022437500000000166
4,k = 1,1,0.1,0.34390000000000004,0.34467,0.0007699999999999374
4,k = 1,1,0.15000000000000002,0.47799375,0.47867,0.0006762499999999894
4,k = 1,1,0.2,0.5904000000000001,0.59028,0.00012000000000012001
4,k = 1,1,0.25,0.68359375,0.68146,0.0021337500000000453
4,k = 1,1,0.30000000000000004,0.7599,0.75979,0.0001100000000000545
4,k = 1,1,0.35000000000000003,0.8214937499999998,0.81973,0.0017637499999998418
4,k = 1,1,0.4,0.8704000000000001,0.86973,0.0006700000000000594
4,k = 1,1,0.45,0.9084937500000003,0.90881,0.00031624999999968484
4,k = 1,1,0.5,0.9375,0.93755,4.999999999999449e-05
4,k = 1,1,0.55,0.9589937500000001,0.95985,0.0008562499999998918
4,k = 1,1,0.6000000000000001,0.9744,0.9742,0.000200000000000089
4,k = 1,1,0.65,0.9849937500000001,0.98477,0.00022375000000007805
4,k = 1,1,0.7000000000000001,0.9918999999999999,0.99124,0.0006599999999998829
4,k = 1,1,0.75,0.99609375,0.99642,0.0003262499999999724
4,k = 1,1,0.8,0.9984000000000001,0.99858,0.00017999999999995797
4,k = 1,1,0.8500000000000001,0.9994937500000001,0.99955,5.624999999997993e-05
4,k = 1,1,0.9,0.9999,0.99991,9.99999999995449e-06
4,k = 1,1,0.9500000000000001,0.99999375,1.0,6.249999999985434e-06
4,k = 1,1,1.0,1.0,1.0,0.0
4,k = n/2,2,0.0,0.0,0.0,0.0
4,k = n/2,2,0.05,0.014018750000000002,0.01435,0.0003312499999999982
4,k = n/2,2,0.1,0.05230000000000001,0.05338,0.0010799999999999838
4,k = n/2,2,0.15000000000000002,0.10951875000000001,0.11241,0.002891249999999984
4,k = n/2,2,0.2,0.18080000000000007,0.18007,0.0007300000000000639
4,k = n/2,2,0.25,0.26171875,0.26228,0.0005612500000000131
4,k = n/2,2,0.30000000000000004,0.34830000000000005,0.34533,0.002970000000000028
4,k = n/2,2,0.35000000000000003,0.43701875,0.43483,0.002188750000000017
4,k = n/2,2,0.4,0.5248,0.52556,0.0007599999999999829
4,k = n/2,2,0.45,0.6090187500000002,0.60841,0.0006087500000001578
4,k = n/2,2,0.5,0.6875,0.69022,0.0027199999999999447
4,k = n/2,2,0.55,0.75851875,0.75952,0.0010012499999999536
4,k = n/2,2,0.6000000000000001,0.8208000000000001,0.81904,0.0017600000000000948
4,k = n/2,2,0.65,0.8735187500000001,0.87469,0.001171249999999846
4,k = n/2,2,0.7000000000000001,0.9163,0.91618,0.00012000000000000899
4,k = n/2,2,0.75,0.94921875,0.94816,0.0010587499999999972
4,k = n/2,2,0.8,0.9728,0.97274,5.999999999994898e-05
4,k = n/2,2,0.8500000000000001,0.9880187500000001,0.98833,0.00031124999999998515
4,k = n/2,2,0.9,0.9963,0.99648,0.000180000000000069
4,k = n/2,2,0.9500000000000001,0.99951875,0.99956,4.124999999999268e-05
4,k = n/2,2,1.0,1.0,1.0,0.0
4,k = n,4,0.0,0.0,0.0,0.0
4,k = n,4,0.05,6.250000000000001e-06,0.0,6.250000000000001e-06
4,k = n,4,0.1,0.00010000000000000002,0.00013,2.999999999999997e-05
4,k = n,4,0.15000000000000002,0.0005062500000000003,0.00037,0.0001362500000000003
4,k = n,4,0.2,0.0016000000000000003,0.0016,2.168404344971009e-19
4,k = n,4,0.25,0.00390625,0.00356,0.0003462500000000002
4,k = n,4,0.30000000000000004,0.008100000000000005,0.00774,0.0003600000000000044
4,k = n,4,0.35000000000000003,0.015006250000000006,0.01501,3.7499999999950767e-06
4,k = n,4,0.4,0.025600000000000005,0.02618,0.0005799999999999937
4,k = n,4,0.45,0.04100625,0.0415,0.0004937500000000011
4,k = n,4,0.5,0.0625,0.06171,0.000789999999999999
4,k = n,4,0.55,0.09150625000000003,0.09121,0.00029625000000002566
4,k = n,4,0.6000000000000001,0.12960000000000008,0.13098,0.0013799999999999368
4,k = n,4,0.65,0.17850625000000003,0.177,0.0015062500000000423
4,k = n,4,0.7000000000000001,0.2401000000000001,0.2407,0.0005999999999999062
4,k = n,4,0.75,0.31640625,0.31463,0.0017762499999999792
4,k = n,4,0.8,0.4096000000000001,0.41159,0.0019899999999999363
4,k = n,4,0.8500000000000001,0.5220062500000002,0.52021,0.0017962500000002768
4,k = n,4,0.9,0.6561,0.65405,0.0020499999999999963
4,k = n,4,0.9500000000000001,0.8145062500000002,0.81448,2.625000000022748e-05
4,k = n,4,1.0,1.0,1.0,0.0
8,k = 1,1,0.0,0.0,0.0,0.0
8,k = 1,1,0.05,0.3365795687109373,0.34186,0.0052804312890626925
8,k = 1,1,0.1,0.5695327900000001,0.57124,0.001707209999999848
8,k = 1,1,0.15000000000000002,0.7275094749609375,0.72803,0.0005205250390624139
